cell_id,elev,t4_pm20_majority,t2_pm20_majority,t4_pm10_majority,t0_p0_majority,t2_pm10_majority,t4_p0_majority,t0_pm10_majority,t0_pm20_majority,t2_p0_majority
"UG_23200",153,2,2,2,2,2,4,2,2,4
"UG_23201",124,2,2,2,2,2,4,2,2,2
"UG_23202",106,2,2,2,2,2,4,2,2,2
"UG_23203",120,2,2,2,2,2,2,2,2,2
"UG_23204",150,2,2,2,2,2,4,2,2,4
"UG_23205",172,2,2,2,2,2,2,2,2,2
"UG_23206",122,2,2,2,2,2,2,2,2,2
"UG_23207",135,2,2,2,2,2,2,2,2,2
"UG_23137",148,2,2,2,2,2,2,1,1,2
"UG_23138",94,2,2,2,2,2,2,2,2,2
"UG_23139",84,2,2,2,2,2,2,2,2,2
"UG_23140",93,2,2,2,2,2,2,2,2,2
"UG_23141",87,2,2,2,2,2,2,2,2,2
"UG_23142",96,2,2,2,2,2,2,2,2,2
"UG_23143",105,2,2,2,2,2,2,2,2,2
"UG_23144",67,2,2,2,2,2,2,2,2,2
"UG_23057",61,2,2,2,2,2,2,2,2,2
"UG_23058",45,2,2,2,1,2,2,1,4,2
"UG_23059",15,5,5,5,5,5,5,5,5,5
"UG_23060",32,2,2,2,2,2,2,2,2,2
"UG_23060",32,2,2,2,2,2,2,2,2,2
"UG_23061",80,2,2,2,2,2,2,2,2,2
"UG_23061",80,2,2,2,2,2,2,2,2,2
"UG_23026",77,2,2,2,2,2,2,2,2,2
"UG_23026",77,2,2,2,2,2,2,2,2,2
"UG_23027",83,2,2,4,1,2,4,1,1,2
"UG_23028",55,2,2,2,2,2,2,2,2,2
"UG_23029",58,2,2,2,2,2,2,2,2,2
"UG_23030",56,2,2,2,2,2,2,2,2,2
"UG_23031",68,2,2,4,4,4,4,1,1,4
"UG_23032",52,2,2,2,2,2,2,2,2,2
"UG_23033",70,2,2,2,2,2,2,2,2,2
"UG_23034",54,2,2,2,2,2,2,2,2,2
"UG_23035",48,2,2,2,2,2,2,2,2,2
"UG_23036",4,2,2,2,2,2,2,2,2,2
"UG_23072",3,2,2,2,6,2,2,6,6,2
"UG_23177",117,2,2,2,4,2,4,4,2,4
"UG_23178",106,2,2,2,2,2,2,2,2,2
"UG_23192",141,2,2,2,2,2,4,2,2,4
"UG_23193",191,2,2,2,2,2,4,2,2,4
"UG_23194",225,2,2,2,2,2,4,2,2,4
"UG_23195",142,2,2,2,2,2,4,2,2,2
"UG_23196",86,2,2,2,2,2,2,2,2,2
"UG_23197",59,2,2,2,2,2,2,2,2,2
"UG_23198",114,2,2,2,2,2,2,2,2,2
"UG_23199",103,2,2,2,2,2,2,2,2,2
"UG_23130",111,2,2,2,2,2,2,2,2,2
"UG_23131",95,2,2,2,2,2,2,2,2,2
"UG_23132",144,2,2,2,2,2,2,1,1,2
"UG_23133",105,2,2,2,2,2,2,2,2,2
"UG_23134",71,2,2,2,2,2,2,2,2,2
"UG_23135",26,2,2,2,2,2,2,2,2,2
"UG_23136",12,5,5,5,5,5,5,5,5,5
"UG_23136",12,5,5,5,5,5,5,5,5,5
"UG_23052",29,2,2,2,2,2,2,2,2,2
"UG_23053",16,2,2,2,2,2,2,2,2,2
"UG_23053",16,2,2,2,2,2,2,2,2,2
"UG_23054",30,2,2,2,2,2,2,2,2,2
"UG_23054",30,2,2,2,2,2,2,2,2,2
"UG_23055",15,2,2,2,2,2,2,2,2,2
"UG_23055",15,2,2,2,2,2,2,2,2,2
"UG_23055",15,2,2,2,2,2,2,2,2,2
"UG_23056",7,5,5,5,5,5,5,5,5,5
"UG_23056",7,5,5,5,5,5,5,5,5,5
"UG_23056",7,5,5,5,5,5,5,5,5,5
"UG_23056",7,5,5,5,5,5,5,5,5,5
"UG_23056",7,5,5,5,5,5,5,5,5,5
"UG_23056",7,5,5,5,5,5,5,5,5,5
"UG_23023",9,2,2,2,2,2,2,2,2,2
"UG_23024",51,2,2,2,2,2,2,2,2,2
"UG_23025",58,2,2,2,2,2,2,2,2,2
"UG_23173",46,2,2,2,2,2,2,2,2,2
"UG_23174",123,2,2,2,4,2,4,2,2,4
"UG_23175",256,2,4,4,4,4,4,4,2,4
"UG_23176",157,2,2,2,4,2,4,2,2,4
"UG_23186",109,2,2,2,2,2,2,2,2,2
"UG_23187",284,2,2,2,2,2,2,2,2,2
"UG_23188",398,4,4,4,4,4,4,4,4,4
"UG_23189",196,2,2,2,2,2,4,2,2,2
"UG_23190",88,2,2,2,2,2,2,2,2,2
"UG_23191",39,2,2,2,2,2,2,2,2,2
"UG_23191",39,2,2,2,2,2,2,2,2,2
"UG_23191",39,2,2,2,2,2,2,2,2,2
"UG_23128",40,2,2,2,2,2,2,2,2,2
"UG_23129",69,2,2,2,2,2,2,2,2,2
"UG_23051",62,2,2,2,1,2,2,1,1,2
"UG_23167",55,2,2,2,2,2,2,2,2,2
"UG_23168",118,2,2,2,2,2,2,1,2,2
"UG_23169",100,2,2,2,1,2,2,1,2,2
"UG_23170",96,2,2,2,4,2,4,2,2,4
"UG_23171",89,2,2,2,4,2,4,2,2,4
"UG_23172",49,2,2,2,2,2,2,2,2,2
"UG_23172",49,2,2,2,2,2,2,2,2,2
"UG_23182",108,2,2,2,2,2,2,2,2,2
"UG_23182",108,2,2,2,2,2,2,2,2,2
"UG_23183",217,2,2,2,2,2,2,2,2,2
"UG_23184",107,2,2,2,2,2,2,2,2,2
"UG_23185",70,2,2,2,2,2,2,2,2,2
"UG_23163",56,2,2,2,2,2,2,2,2,2
"UG_23164",116,2,2,2,2,2,2,2,2,2
"UG_23165",59,2,2,2,2,2,2,1,2,2
"UG_23165",59,2,2,2,2,2,2,1,2,2
"UG_23166",58,2,2,2,2,2,2,1,2,2
"UG_23180",63,2,2,2,2,2,2,2,2,2
"UG_23181",73,2,2,2,2,2,2,2,2,2
"UG_23159",107,2,2,2,2,2,2,2,2,2
"UG_23160",59,2,2,2,2,2,2,1,2,2
"UG_23161",86,2,2,2,2,2,2,1,2,2
"UG_23162",57,2,2,2,2,2,2,1,2,2
"UG_23162",57,2,2,2,2,2,2,1,2,2
"UG_23162",57,2,2,2,2,2,2,1,2,2
"UG_23162",57,2,2,2,2,2,2,1,2,2
"UG_23162",57,2,2,2,2,2,2,1,2,2
"UG_23792",50,6,6,6,6,6,6,6,6,6
"UG_23793",53,4,4,4,4,4,4,4,4,4
"UG_23793",53,4,4,4,4,4,4,4,4,4
"UG_23793",53,4,4,4,4,4,4,4,4,4
"UG_23790",95,6,6,6,6,6,6,6,6,6
"UG_23791",54,6,6,6,6,6,6,6,6,6
"UG_23791",54,6,6,6,6,6,6,6,6,6
"UG_23788",43,6,6,6,6,6,6,6,6,6
"UG_23788",43,6,6,6,6,6,6,6,6,6
"UG_23788",43,6,6,6,6,6,6,6,6,6
"UG_23788",43,6,6,6,6,6,6,6,6,6
"UG_23788",43,6,6,6,6,6,6,6,6,6
"UG_23788",43,6,6,6,6,6,6,6,6,6
"UG_23789",65,6,6,6,6,6,6,6,6,6
"UG_23789",65,6,6,6,6,6,6,6,6,6
"UG_23789",65,6,6,6,6,6,6,6,6,6
"UG_23789",65,6,6,6,6,6,6,6,6,6
"UG_23785",29,6,6,4,4,4,4,4,4,4
"UG_23785",29,6,6,4,4,4,4,4,4,4
"UG_23785",29,6,6,4,4,4,4,4,4,4
"UG_23785",29,6,6,4,4,4,4,4,4,4
"UG_23786",37,6,6,6,6,6,6,6,6,6
"UG_23786",37,6,6,6,6,6,6,6,6,6
"UG_23786",37,6,6,6,6,6,6,6,6,6
"UG_23787",71,6,6,6,6,6,6,6,6,6
"UG_23787",71,6,6,6,6,6,6,6,6,6
"UG_23784",78,6,6,6,6,6,6,6,6,6
"UG_23784",78,6,6,6,6,6,6,6,6,6
"UG_23784",78,6,6,6,6,6,6,6,6,6
"UG_23784",78,6,6,6,6,6,6,6,6,6
"UG_23784",78,6,6,6,6,6,6,6,6,6
"UG_23783",45,2,4,4,4,4,4,4,4,4
"UG_23781",37,2,4,4,4,4,4,4,4,4
"UG_23782",78,6,4,4,4,4,4,4,4,4
"UG_23782",78,6,4,4,4,4,4,4,4,4
"UG_23782",78,6,4,4,4,4,4,4,4,4
"UG_23782",78,6,4,4,4,4,4,4,4,4
"UG_23777",132,6,6,6,6,6,6,6,6,6
"UG_23777",132,6,6,6,6,6,6,6,6,6
"UG_23778",83,6,6,6,6,6,6,6,6,6
"UG_23778",83,6,6,6,6,6,6,6,6,6
"UG_23778",83,6,6,6,6,6,6,6,6,6
"UG_23778",83,6,6,6,6,6,6,6,6,6
"UG_23779",65,6,6,4,4,4,4,4,4,4
"UG_23779",65,6,6,4,4,4,4,4,4,4
"UG_23779",65,6,6,4,4,4,4,4,4,4
"UG_23779",65,6,6,4,4,4,4,4,4,4
"UG_23780",13,2,4,4,4,4,4,4,4,4
"UG_23780",13,2,4,4,4,4,4,4,4,4
"UG_23780",13,2,4,4,4,4,4,4,4,4
"UG_23776",31,2,4,4,4,4,4,4,4,4
"UG_23776",31,2,4,4,4,4,4,4,4,4
"UG_23766",148,6,6,6,6,6,6,6,6,6
"UG_23767",75,6,6,6,6,6,6,6,6,6
"UG_23768",121,6,6,6,6,6,6,6,6,6
"UG_23768",121,6,6,6,6,6,6,6,6,6
"UG_23769",93,6,6,6,6,6,6,6,6,6
"UG_23770",86,6,6,6,6,6,6,6,6,6
"UG_23771",78,2,4,4,4,4,4,4,4,4
"UG_23772",58,2,4,4,4,4,4,4,4,4
"UG_23773",47,2,4,4,4,4,4,4,4,4
"UG_23774",11,2,2,2,2,2,2,2,2,2
"UG_23775",23,2,2,2,6,2,6,6,6,2
"UG_23751",61,6,6,6,6,6,6,6,6,6
"UG_23752",72,6,6,6,6,6,6,6,6,6
"UG_23753",75,6,6,6,6,6,6,6,6,6
"UG_23753",75,6,6,6,6,6,6,6,6,6
"UG_23753",75,6,6,6,6,6,6,6,6,6
"UG_23754",221,6,6,6,6,6,6,6,6,6
"UG_23755",280,6,6,6,6,6,6,6,6,6
"UG_23756",207,6,6,6,6,6,6,6,6,6
"UG_23757",167,6,6,6,6,6,6,6,6,6
"UG_23758",140,6,6,6,6,6,6,6,6,6
"UG_23759",207,6,6,6,6,6,6,6,6,6
"UG_23760",147,6,6,6,6,6,6,6,6,6
"UG_23761",176,6,6,6,6,6,6,6,6,6
"UG_23762",115,6,6,6,6,6,6,6,6,6
"UG_23763",105,6,6,6,6,6,6,6,6,6
"UG_23764",81,2,2,2,2,2,2,2,2,2
"UG_23765",14,2,2,2,2,2,2,2,2,2
"UG_23734",34,6,6,6,6,6,6,6,6,6
"UG_23734",34,6,6,6,6,6,6,6,6,6
"UG_23734",34,6,6,6,6,6,6,6,6,6
"UG_23735",41,6,6,6,6,6,6,6,6,6
"UG_23735",41,6,6,6,6,6,6,6,6,6
"UG_23736",92,6,6,6,6,6,6,6,6,6
"UG_23737",67,6,6,6,6,6,6,6,6,6
"UG_23738",35,6,6,6,6,6,6,6,6,6
"UG_23738",35,6,6,6,6,6,6,6,6,6
"UG_23739",75,6,6,6,6,6,6,6,6,6
"UG_23739",75,6,6,6,6,6,6,6,6,6
"UG_23740",164,6,6,6,6,6,6,6,6,6
"UG_23740",164,6,6,6,6,6,6,6,6,6
"UG_23741",301,6,6,6,6,6,6,6,6,6
"UG_23742",330,6,6,6,6,6,6,6,6,6
"UG_23743",258,6,6,6,6,6,6,6,6,6
"UG_23744",282,6,6,6,6,6,6,6,6,6
"UG_23745",277,6,6,6,6,6,6,6,6,6
"UG_23746",202,6,6,6,6,6,6,6,6,6
"UG_23747",204,6,6,6,6,6,6,6,6,6
"UG_23748",282,6,6,6,6,6,6,6,6,6
"UG_23749",177,6,6,6,6,6,6,6,6,6
"UG_23750",120,6,6,6,6,6,6,6,6,6
"UG_23718",134,6,6,6,6,6,6,6,6,6
"UG_23718",134,6,6,6,6,6,6,6,6,6
"UG_23718",134,6,6,6,6,6,6,6,6,6
"UG_23719",112,6,6,6,6,6,6,6,6,6
"UG_23720",84,6,6,6,6,6,6,6,6,6
"UG_23720",84,6,6,6,6,6,6,6,6,6
"UG_23720",84,6,6,6,6,6,6,6,6,6
"UG_23721",55,6,6,6,6,6,6,6,6,6
"UG_23722",25,6,6,6,6,6,6,6,6,6
"UG_23722",25,6,6,6,6,6,6,6,6,6
"UG_23722",25,6,6,6,6,6,6,6,6,6
"UG_23723",33,6,6,6,6,6,6,6,6,6
"UG_23723",33,6,6,6,6,6,6,6,6,6
"UG_23724",124,6,6,6,6,6,6,6,6,6
"UG_23725",270,6,6,6,6,6,6,6,6,6
"UG_23726",308,6,6,6,6,6,6,6,6,6
"UG_23727",280,6,6,6,6,6,6,6,6,6
"UG_23728",211,6,6,6,6,6,6,6,6,6
"UG_23729",189,2,2,4,4,4,4,6,2,4
"UG_23730",249,6,6,6,6,6,6,6,6,6
"UG_23731",179,6,6,6,6,6,6,6,6,6
"UG_23732",228,6,6,6,6,6,6,6,6,6
"UG_23733",207,6,6,6,6,6,6,6,6,6
"UG_23705",168,6,6,6,6,6,6,6,6,6
"UG_23705",168,6,6,6,6,6,6,6,6,6
"UG_23705",168,6,6,6,6,6,6,6,6,6
"UG_23705",168,6,6,6,6,6,6,6,6,6
"UG_23706",156,6,6,6,6,6,6,6,6,6
"UG_23706",156,6,6,6,6,6,6,6,6,6
"UG_23706",156,6,6,6,6,6,6,6,6,6
"UG_23706",156,6,6,6,6,6,6,6,6,6
"UG_23707",148,6,6,6,6,6,6,6,6,6
"UG_23707",148,6,6,6,6,6,6,6,6,6
"UG_23707",148,6,6,6,6,6,6,6,6,6
"UG_23708",56,6,6,6,6,6,6,6,6,6
"UG_23708",56,6,6,6,6,6,6,6,6,6
"UG_23709",101,6,6,6,6,6,6,6,6,6
"UG_23709",101,6,6,6,6,6,6,6,6,6
"UG_23710",206,6,6,6,6,6,6,6,6,6
"UG_23710",206,6,6,6,6,6,6,6,6,6
"UG_23711",232,6,6,6,6,6,6,6,6,6
"UG_23711",232,6,6,6,6,6,6,6,6,6
"UG_23712",328,6,6,6,6,6,6,6,6,6
"UG_23713",309,6,6,6,6,6,6,6,6,6
"UG_23714",217,6,6,6,6,6,6,6,6,6
"UG_23715",153,6,6,6,6,6,6,6,6,6
"UG_23716",130,6,6,6,6,6,6,6,6,6
"UG_23716",130,6,6,6,6,6,6,6,6,6
"UG_23717",95,2,2,2,6,2,6,6,6,2
"UG_23717",95,2,2,2,6,2,6,6,6,2
"UG_23717",95,2,2,2,6,2,6,6,6,2
"UG_23692",99,6,6,6,6,6,6,6,6,6
"UG_23692",99,6,6,6,6,6,6,6,6,6
"UG_23693",108,6,6,6,6,6,6,6,6,6
"UG_23694",135,6,6,6,6,6,6,6,6,6
"UG_23694",135,6,6,6,6,6,6,6,6,6
"UG_23694",135,6,6,6,6,6,6,6,6,6
"UG_23695",326,6,6,6,6,6,6,6,6,6
"UG_23696",424,6,6,6,6,6,6,6,6,6
"UG_23697",380,6,6,6,6,6,6,6,6,6
"UG_23698",519,6,6,6,6,6,6,6,6,6
"UG_23699",422,6,6,6,6,6,6,6,6,6
"UG_23700",498,6,6,6,6,6,6,6,6,6
"UG_23701",348,6,6,6,6,6,6,6,6,6
"UG_23702",186,2,4,4,4,4,4,4,4,4
"UG_23702",186,2,4,4,4,4,4,4,4,4
"UG_23703",64,2,2,2,1,2,2,1,2,2
"UG_23703",64,2,2,2,1,2,2,1,2,2
"UG_23703",64,2,2,2,1,2,2,1,2,2
"UG_23704",25,2,2,2,1,2,2,1,2,2
"UG_23704",25,2,2,2,1,2,2,1,2,2
"UG_23367",6,2,2,2,2,2,2,2,2,2
"UG_23368",2,2,2,2,2,2,2,2,2,2
"UG_23673",39,6,6,4,4,4,4,6,6,4
"UG_23673",39,6,6,4,4,4,4,6,6,4
"UG_23674",21,6,6,6,6,6,6,6,6,6
"UG_23674",21,6,6,6,6,6,6,6,6,6
"UG_23674",21,6,6,6,6,6,6,6,6,6
"UG_23674",21,6,6,6,6,6,6,6,6,6
"UG_23674",21,6,6,6,6,6,6,6,6,6
"UG_23675",94,6,6,6,6,6,6,6,6,6
"UG_23675",94,6,6,6,6,6,6,6,6,6
"UG_23676",83,6,4,4,4,4,4,4,6,4
"UG_23676",83,6,4,4,4,4,4,4,6,4
"UG_23676",83,6,4,4,4,4,4,4,6,4
"UG_23677",220,6,6,6,6,6,6,6,6,6
"UG_23678",157,6,6,6,6,6,6,6,6,6
"UG_23678",157,6,6,6,6,6,6,6,6,6
"UG_23679",335,6,6,6,6,6,6,6,6,6
"UG_23680",354,6,6,6,6,6,6,6,6,6
"UG_23681",306,6,6,6,6,6,6,6,6,6
"UG_23682",366,6,6,6,6,6,6,6,6,6
"UG_23683",318,6,6,6,6,6,6,6,6,6
"UG_23684",259,6,6,6,6,6,6,6,6,6
"UG_23685",241,2,4,4,4,4,4,4,4,4
"UG_23686",104,2,2,2,1,2,2,1,2,2
"UG_23687",90,2,2,2,1,2,2,1,2,2
"UG_23687",90,2,2,2,1,2,2,1,2,2
"UG_23688",60,2,2,2,1,2,2,1,2,2
"UG_23688",60,2,2,2,1,2,2,1,2,2
"UG_23689",53,2,2,2,1,2,2,1,2,2
"UG_23690",72,2,2,2,1,2,2,1,1,2
"UG_23691",117,2,2,2,1,2,2,1,2,2
"UG_23357",151,2,2,2,2,2,2,2,2,2
"UG_23358",127,2,2,2,2,2,2,2,2,2
"UG_23359",122,2,2,2,2,2,2,2,2,2
"UG_23360",159,2,2,2,2,2,2,2,2,2
"UG_23361",140,2,2,2,2,2,2,2,2,2
"UG_23362",90,2,2,2,2,2,2,2,2,2
"UG_23363",95,2,2,2,2,2,2,2,2,2
"UG_23364",138,2,2,2,2,2,2,2,2,2
"UG_23365",73,2,2,2,2,2,2,2,2,2
"UG_23366",21,2,2,2,2,2,2,2,2,2
"UG_23649",5,2,2,4,4,4,4,4,2,4
"UG_23649",5,2,2,4,4,4,4,4,2,4
"UG_23649",5,2,2,4,4,4,4,4,2,4
"UG_23650",12,6,6,6,6,6,6,6,6,6
"UG_23650",12,6,6,6,6,6,6,6,6,6
"UG_23650",12,6,6,6,6,6,6,6,6,6
"UG_23650",12,6,6,6,6,6,6,6,6,6
"UG_23650",12,6,6,6,6,6,6,6,6,6
"UG_23651",114,6,6,6,6,6,6,6,6,6
"UG_23652",123,6,6,6,6,6,6,6,6,6
"UG_23653",106,6,6,6,6,6,6,6,6,6
"UG_23653",106,6,6,6,6,6,6,6,6,6
"UG_23653",106,6,6,6,6,6,6,6,6,6
"UG_23654",159,6,6,6,6,6,6,6,6,6
"UG_23655",118,6,6,6,6,6,6,6,6,6
"UG_23655",118,6,6,6,6,6,6,6,6,6
"UG_23655",118,6,6,6,6,6,6,6,6,6
"UG_23656",304,6,6,6,6,6,6,6,6,6
"UG_23656",304,6,6,6,6,6,6,6,6,6
"UG_23656",304,6,6,6,6,6,6,6,6,6
"UG_23657",211,6,6,6,6,6,6,6,6,6
"UG_23657",211,6,6,6,6,6,6,6,6,6
"UG_23658",280,6,6,6,6,6,6,6,6,6
"UG_23659",434,6,6,6,6,6,6,6,6,6
"UG_23660",500,6,6,6,6,6,6,6,6,6
"UG_23661",473,6,6,6,6,6,6,6,6,6
"UG_23662",346,6,6,6,6,6,6,6,6,6
"UG_23663",221,6,6,6,6,6,6,6,6,6
"UG_23664",167,2,2,2,1,2,2,1,2,2
"UG_23665",159,2,2,2,1,2,2,1,2,2
"UG_23666",292,6,6,6,6,6,6,6,6,6
"UG_23667",376,6,6,6,6,6,6,6,6,6
"UG_23668",277,6,6,6,6,6,6,6,6,6
"UG_23669",319,6,6,6,6,6,6,6,6,6
"UG_23670",292,4,4,4,4,4,4,4,4,4
"UG_23671",307,4,4,4,4,4,4,4,4,4
"UG_23672",320,4,4,4,4,4,4,4,4,4
"UG_23350",279,4,4,4,4,4,4,4,4,4
"UG_23351",196,4,4,4,4,4,4,4,4,4
"UG_23352",161,2,2,2,2,2,2,2,2,2
"UG_23353",118,2,2,2,2,2,2,2,2,2
"UG_23354",92,2,2,2,2,2,2,2,2,2
"UG_23355",71,2,2,2,2,2,2,2,2,2
"UG_23356",41,2,2,2,2,2,2,2,2,2
"UG_23627",26,6,6,6,6,6,6,6,6,6
"UG_23628",120,6,6,6,6,6,6,6,6,6
"UG_23628",120,6,6,6,6,6,6,6,6,6
"UG_23628",120,6,6,6,6,6,6,6,6,6
"UG_23629",137,6,6,6,6,6,6,6,6,6
"UG_23629",137,6,6,6,6,6,6,6,6,6
"UG_23630",222,6,6,6,6,6,6,6,6,6
"UG_23631",164,6,6,6,6,6,6,6,6,6
"UG_23631",164,6,6,6,6,6,6,6,6,6
"UG_23631",164,6,6,6,6,6,6,6,6,6
"UG_23631",164,6,6,6,6,6,6,6,6,6
"UG_23632",108,6,6,6,6,6,6,6,6,6
"UG_23632",108,6,6,6,6,6,6,6,6,6
"UG_23633",178,6,6,6,6,6,6,6,6,6
"UG_23633",178,6,6,6,6,6,6,6,6,6
"UG_23633",178,6,6,6,6,6,6,6,6,6
"UG_23634",196,6,6,6,6,6,6,6,6,6
"UG_23634",196,6,6,6,6,6,6,6,6,6
"UG_23634",196,6,6,6,6,6,6,6,6,6
"UG_23634",196,6,6,6,6,6,6,6,6,6
"UG_23634",196,6,6,6,6,6,6,6,6,6
"UG_23635",321,6,6,6,6,6,6,6,6,6
"UG_23636",520,6,6,6,6,6,6,6,6,6
"UG_23637",567,6,6,6,6,6,6,6,6,6
"UG_23638",388,6,6,6,6,6,6,6,6,6
"UG_23639",358,6,6,6,6,6,6,6,6,6
"UG_23640",271,4,4,4,4,4,4,4,4,4
"UG_23641",306,6,6,6,6,6,6,6,6,6
"UG_23642",552,6,6,6,6,6,6,6,6,6
"UG_23643",522,6,6,6,6,6,6,6,6,6
"UG_23644",453,6,6,6,6,6,6,6,6,6
"UG_23645",300,4,4,4,4,4,4,4,4,4
"UG_23646",384,6,6,6,6,6,6,6,6,6
"UG_23647",444,6,6,6,6,6,6,6,6,6
"UG_23648",503,6,6,6,6,6,6,6,6,6
"UG_23343",430,6,6,6,6,6,6,6,6,6
"UG_23344",339,6,4,4,4,4,4,4,4,4
"UG_23345",261,4,4,4,4,4,4,4,4,4
"UG_23346",204,4,4,4,4,4,4,4,4,4
"UG_23347",111,2,2,2,2,2,2,2,2,2
"UG_23348",106,2,2,2,2,2,2,2,2,2
"UG_23349",50,2,2,2,2,2,2,2,2,2
"UG_23613",114,6,6,6,6,6,6,6,6,6
"UG_23614",150,6,6,6,6,6,6,6,6,6
"UG_23614",150,6,6,6,6,6,6,6,6,6
"UG_23614",150,6,6,6,6,6,6,6,6,6
"UG_23614",150,6,6,6,6,6,6,6,6,6
"UG_23615",347,6,6,6,6,6,6,6,6,6
"UG_23615",347,6,6,6,6,6,6,6,6,6
"UG_23616",415,6,6,6,6,6,6,6,6,6
"UG_23617",415,6,6,6,6,6,6,6,6,6
"UG_23618",342,6,6,6,6,6,6,6,6,6
"UG_23619",327,6,6,6,6,6,6,6,6,6
"UG_23620",322,6,6,6,6,6,6,6,6,6
"UG_23621",498,6,6,6,6,6,6,6,6,6
"UG_23622",563,6,6,6,6,6,6,6,6,6
"UG_23623",606,6,6,6,6,6,6,6,6,6
"UG_23624",447,6,6,6,6,6,6,6,6,6
"UG_23625",434,6,6,6,6,6,6,6,6,6
"UG_23626",728,6,6,6,6,6,6,6,6,6
"UG_23333",743,6,6,6,6,6,6,6,6,6
"UG_23334",632,6,6,6,6,6,6,6,6,6
"UG_23335",473,6,6,6,6,6,6,6,6,6
"UG_23336",427,6,6,6,6,6,6,6,6,6
"UG_23337",292,4,4,4,4,4,4,4,4,4
"UG_23338",226,4,4,4,4,4,4,4,4,4
"UG_23339",180,4,4,4,4,4,4,4,4,4
"UG_23340",117,2,2,2,2,2,2,2,2,2
"UG_23341",104,2,2,2,2,2,2,2,2,2
"UG_23342",47,5,5,5,5,5,5,5,5,5
"UG_23602",178,6,6,6,6,6,6,6,6,6
"UG_23603",276,6,6,6,6,6,6,6,6,6
"UG_23603",276,6,6,6,6,6,6,6,6,6
"UG_23604",323,6,6,6,6,6,6,6,6,6
"UG_23605",298,6,6,6,6,6,6,6,6,6
"UG_23605",298,6,6,6,6,6,6,6,6,6
"UG_23606",235,6,6,6,6,6,6,6,6,6
"UG_23606",235,6,6,6,6,6,6,6,6,6
"UG_23607",264,6,6,4,4,4,4,4,6,4
"UG_23608",420,6,6,6,6,6,6,6,6,6
"UG_23609",563,6,6,6,6,6,6,6,6,6
"UG_23610",503,6,6,6,6,6,6,6,6,6
"UG_23611",542,6,6,6,6,6,6,6,6,6
"UG_23612",578,6,6,6,6,6,6,6,6,6
"UG_23461",659,6,6,6,6,6,6,6,6,6
"UG_23462",624,6,6,6,6,6,6,6,6,6
"UG_23327",620,2,2,2,2,2,2,2,2,2
"UG_23328",615,2,2,2,2,2,2,2,2,2
"UG_23329",662,2,2,2,2,2,2,2,2,2
"UG_23463",561,6,6,6,6,6,6,6,6,6
"UG_23464",489,6,6,6,6,6,6,6,6,6
"UG_23465",377,6,6,6,6,6,6,6,6,6
"UG_23330",253,4,4,4,4,4,4,4,4,4
"UG_23331",165,4,4,4,4,4,4,4,4,4
"UG_23332",92,2,2,2,2,2,2,2,2,2
"UG_23592",112,6,6,6,6,6,6,6,6,6
"UG_23593",140,6,6,6,6,6,6,6,6,6
"UG_23593",140,6,6,6,6,6,6,6,6,6
"UG_23593",140,6,6,6,6,6,6,6,6,6
"UG_23593",140,6,6,6,6,6,6,6,6,6
"UG_23594",154,6,6,6,6,6,6,6,6,6
"UG_23594",154,6,6,6,6,6,6,6,6,6
"UG_23595",235,6,6,6,6,6,6,6,6,6
"UG_23596",322,6,6,6,6,6,6,6,6,6
"UG_23597",229,6,6,6,6,6,6,6,6,6
"UG_23597",229,6,6,6,6,6,6,6,6,6
"UG_23597",229,6,6,6,6,6,6,6,6,6
"UG_23598",306,6,6,6,6,6,6,6,6,6
"UG_23598",306,6,6,6,6,6,6,6,6,6
"UG_23598",306,6,6,6,6,6,6,6,6,6
"UG_23599",543,6,6,6,6,6,6,6,6,6
"UG_23600",489,6,6,6,6,6,6,6,6,6
"UG_23601",513,6,6,6,6,6,6,6,6,6
"UG_23449",483,6,6,6,6,6,6,6,6,6
"UG_23450",462,6,6,6,6,6,6,6,6,6
"UG_23451",362,6,6,6,6,6,6,6,6,6
"UG_23452",336,6,6,6,6,6,6,6,6,6
"UG_23453",378,4,4,4,4,4,4,4,4,4
"UG_23454",431,4,4,4,4,4,4,4,4,4
"UG_23455",411,4,4,4,4,4,4,4,4,4
"UG_23456",380,4,4,4,4,4,4,4,4,4
"UG_23457",297,4,4,4,4,4,4,4,4,4
"UG_23458",263,4,4,4,4,4,4,4,4,4
"UG_23459",126,2,2,2,2,2,2,2,2,2
"UG_23460",59,2,2,2,2,2,2,2,2,2
"UG_23326",85,2,2,2,2,2,2,2,2,2
"UG_23326",85,2,2,2,2,2,2,2,2,2
"UG_23581",11,6,6,6,6,6,6,6,6,6
"UG_23582",89,6,6,6,6,6,6,6,6,6
"UG_23582",89,6,6,6,6,6,6,6,6,6
"UG_23583",141,6,6,4,4,4,4,6,6,4
"UG_23583",141,6,6,4,4,4,4,6,6,4
"UG_23584",163,6,6,4,4,4,4,6,2,4
"UG_23584",163,6,6,4,4,4,4,6,2,4
"UG_23584",163,6,6,4,4,4,4,6,2,4
"UG_23585",205,6,6,6,6,6,6,6,6,6
"UG_23585",205,6,6,6,6,6,6,6,6,6
"UG_23586",255,6,6,6,6,6,6,6,6,6
"UG_23586",255,6,6,6,6,6,6,6,6,6
"UG_23587",111,6,6,4,4,4,4,4,6,4
"UG_23587",111,6,6,4,4,4,4,4,6,4
"UG_23587",111,6,6,4,4,4,4,4,6,4
